Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	tree_length
0	-1382.298	-1544.323	162.0256	0.00406486	0.0365433	0.00740835	0.00572263	0.00248634	0.00173089	0.00432781	0.00134614	0.00418314	0.00657695	0.00904718	0.00314252	0.00274781	0.00303319	0.00652216	0.00528703	0.00670099	0.0126391	0.00894458	0.0111326	0.000203118	0.00210816	0.00456286	0.000220304	0.00334112	0.0013396	0.00841218	0.00296199	0.00590187	0.00535561	0.0107711	0.00212675	0.00199249	0.00699695	0.000841937	0.00241436	0.00336182	0.0148206	0.000971694	0.00278224	0.00540135	0.00077573	0.00696938	0.000381956	0.0192549	0.00714702	0.00409968	0.0100117	0.00563673	0.00447627	0.00490846	0.0261575	0.00334449	0.0103355	0.0290629	0.00955314	0.00612466	0.0127584	0.00225504	0.0249516	0.00898942	0.002258	0.00150783	0.00881053	0.00588938	0.0120942	0.00221519	0.0062311	0.00373495	0.0092441	0.00413024	0.0035412	0.00939849	0.0101799	0.00486725	0.0100962	0.0195994	0.003663	0.0012105	0.0174627	0.00139537	0.000721535	0.00125827	0.0041668	0.00496167	0.0109852	0.00342482	0.0132248	0.00171899	0.000783204	0.00055618	0.00480634	0.00459897	0.0323327	0.187564	0.593247	1.68564	5.33152	30.9284	2.481338	0.00659445	0.0592845	0.0120186	0.00928385	0.00403361	0.00280803	0.00702104	0.00218386	0.00678634	0.0106698	0.0146773	0.00509813	0.00445778	0.00492076	0.0105809	0.00857718	0.0108711	0.0205045	0.0145108	0.0180606	0.00032952	0.00342009	0.00740235	0.0003574	0.00542031	0.00217324	0.0136471	0.00480526	0.00957464	0.00868844	0.017474	0.00345024	0.00323244	0.0113512	0.00136588	0.00391683	0.0054539	0.0240436	0.00157638	0.00451364	0.00876265	0.00125847	0.0113065	0.00061965	0.0312373	0.0115946	0.00665093	0.016242	0.00914451	0.00726189	0.00796302	0.0424355	0.00542578	0.0167674	0.0471488	0.0154981	0.00993607	0.020698	0.00365836	0.0404791	0.0145836	0.00366316	0.00244616	0.0142934	0.00955438	0.0196205	0.00359372	0.0101088	0.00605923	0.0149968	0.00670051	0.00574491	0.0152472	0.0165149	0.00789617	0.0163791	0.0317962	0.00594251	0.00196379	0.0283298	0.00226372	0.00117055	0.0020413	0.00675983	0.00804935	0.0178213	0.0055561	0.0214548	0.00278873	0.0012706	0.000902294	0.00779735	0.00746093	0.6164065
36	-1387.202	-1545.787	158.5847	0.0645252	0.179702	0.0638371	0.0290243	0.00756295	0.00706101	0.0352835	7.03538e-05	0.0135924	0.0673212	0.0568579	0.00664658	0.0666183	0.00157001	0.0330847	0.0061845	0.0934728	0.116227	0.00889435	0.0530168	0.00536088	0.0167213	0.0347569	0.00702178	0.0734953	0.0232027	0.0129157	0.0311734	0.0322702	0.0260765	0.0503069	0.0288919	0.0178491	0.04159	0.0922305	0.0348258	0.0157349	0.0638319	0.00119043	0.00421188	0.0231449	0.0509683	0.0194	0.00345389	0.0317245	0.0699002	0.0761408	0.0405288	0.0108582	0.0231853	0.0251276	0.00897569	0.0731229	0.0896492	0.0076648	0.0213884	0.0145969	0.022086	0.0131237	0.0237264	0.0223169	0.0205807	0.000367389	0.0284544	0.0248523	0.0136844	0.0372233	0.0163134	0.0203116	0.000595935	0.0388695	0.0773453	0.0438864	0.0105172	0.018637	0.207083	0.00334364	0.0139116	0.261216	0.0710245	0.0319805	0.125932	0.0120023	0.0297145	0.178452	0.00692333	0.0343616	0.0140866	0.0467463	0.0938371	0.00640389	0.0572847	0.0358565	0.141538	0.385371	0.74268	1.34647	2.5949	7.06524	1.413735	0.0170833	0.0475768	0.0169011	0.00768428	0.00200232	0.00186943	0.00934145	1.86264e-05	0.00359863	0.0178235	0.0150534	0.00175971	0.0176375	0.000415666	0.0087593	0.00163737	0.0247473	0.0307716	0.00235481	0.0140364	0.00141931	0.00442702	0.00920203	0.00185904	0.0194582	0.006143	0.00341948	0.00825327	0.00854367	0.00690385	0.0133189	0.00764924	0.00472561	0.0110111	0.0244184	0.00922027	0.00416587	0.0168998	0.000315171	0.00111511	0.00612769	0.0134941	0.00513622	0.00091443	0.00839918	0.0185063	0.0201586	0.0107301	0.00287475	0.0061384	0.00665262	0.00237635	0.0193596	0.023735	0.00202929	0.00566267	0.00386459	0.00584735	0.00347456	0.00628166	0.00590848	0.00544881	9.72678e-05	0.00753341	0.00657975	0.003623	0.009855	0.00431904	0.00537757	0.000157776	0.0102908	0.0204775	0.0116191	0.00278447	0.00493422	0.054826	0.000885241	0.00368315	0.0691581	0.018804	0.00846696	0.0333409	0.00317766	0.00786703	0.0472458	0.00183298	0.00909736	0.00372949	0.0123763	0.0248437	0.00169546	0.0151664	0.00949316	3.777092
72	-1382.492	-1544.558	162.0666	0.00354613	0.0590326	0.0222856	0.00912032	0.00368388	0.00106913	0.00187331	0.00503527	0.00415824	0.0234409	0.00248742	0.0223795	0.0150964	0.0134108	0.0184564	0.00140226	0.010662	0.0161283	0.0157059	0.0096813	0.00347886	0.00771312	0.00522644	0.000668669	0.01426	0.0183169	0.0120083	0.0188072	0.000866306	0.0336466	0.0129366	0.00063342	0.0102848	0.00746636	0.00367436	0.00967445	0.00474965	0.0270606	0.00357598	0.000624365	0.00536131	0.0130725	0.00197923	0.00503262	0.0186666	0.0115751	0.00743415	0.0142112	0.0121476	0.00793158	0.0434515	0.0398383	0.00281178	0.0149727	0.039059	0.00706561	0.0310243	0.0146253	0.00239902	0.0178578	0.015789	0.011315	0.00955518	0.0122299	0.024277	0.00743574	0.00198362	0.00271926	0.00556385	0.018194	0.00273663	0.00931109	0.00913589	0.0308207	0.00979957	0.00834964	0.0179923	0.00142865	0.00166273	0.0378508	0.0236207	0.00347236	0.0012005	0.00162474	0.008459	0.0310618	0.00349213	0.0352671	0.00533825	0.00258899	0.000203095	0.019107	0.0131013	0.0633446	0.26037	0.657166	1.52169	3.84069	15.7867	1.995067	0.00307948	0.0512643	0.019353	0.00792015	0.00319911	0.00092844	0.0016268	0.00437267	0.00361105	0.0203562	0.0021601	0.0194345	0.0131098	0.0116461	0.0160276	0.00121773	0.00925896	0.014006	0.0136391	0.00840731	0.00302107	0.00669813	0.00453868	0.000580677	0.0123835	0.0159065	0.0104281	0.0163323	0.000752307	0.029219	0.0112342	0.000550066	0.00893137	0.00648384	0.00319084	0.00840137	0.00412463	0.0234997	0.00310541	0.000542204	0.0046558	0.0113523	0.00171877	0.00437037	0.0162103	0.0100519	0.00645587	0.0123411	0.0105491	0.00688784	0.0377336	0.0345959	0.00244177	0.0130024	0.0339191	0.00613583	0.0269417	0.0127007	0.00208332	0.0155078	0.0137113	0.00982603	0.00829779	0.0106205	0.0210823	0.00645726	0.00172259	0.00236143	0.00483169	0.0157998	0.00237651	0.00808582	0.00793368	0.0267649	0.00851002	0.00725089	0.0156247	0.00124065	0.00144393	0.0328699	0.0205124	0.00301542	0.00104252	0.00141093	0.00734586	0.0269743	0.00303259	0.0306262	0.00463578	0.0022483	0.000176369	0.0165927	0.0113772	1.151533
108	-1375.565	-1537.608	162.0427	0.0110343	0.0362738	0.0285422	0.0090843	0.00164639	0.00371398	0.00651459	0.00771219	0.00219867	0.0088878	0.00439289	0.0131247	0.0151024	0.00980492	0.0207687	0.00240251	0.0184097	0.0128534	0.00220127	0.0282044	0.00283632	0.00817428	0.00769352	0.00493581	0.0170958	0.00333172	0.00499968	0.00470639	0.00838668	0.0203212	0.0109435	0.00306928	0.00489633	0.0110747	0.0113157	0.0208491	0.00446948	0.0171527	0.00105817	0.00525786	0.00147948	0.0172709	1.23854e-05	0.00461884	0.0192615	0.0225398	0.0160324	0.0175379	0.00972507	0.00099393	0.0190844	0.0167936	0.000867113	0.00491506	0.0303437	0.0066041	0.0117748	0.00947035	0.0069762	0.0210274	0.00191373	0.00888366	0.00317175	0.0204125	0.00759651	0.00471227	0.00794517	0.00552211	0.00161427	0.00359066	0.00217273	0.00886924	0.00575584	0.00869444	0.00996381	0.00411342	0.0231084	0.004079	0.00354737	0.00895076	0.000254575	0.0101321	0.00920869	0.0195496	0.00981596	0.0255109	0.00731538	0.0177823	0.00746082	0.0102568	0.00252595	0.00375409	0.00529966	0.044413	0.218971	0.622606	1.60615	4.56681	22.5159	2.251797	0.0119129	0.0391618	0.0308146	0.00980756	0.00177747	0.00400967	0.00703326	0.00832621	0.00237372	0.00959542	0.00474263	0.0141696	0.0163048	0.0105856	0.0224222	0.00259379	0.0198754	0.0138767	0.00237653	0.0304499	0.00306213	0.00882509	0.00830605	0.00532878	0.0184569	0.00359698	0.00539774	0.0050811	0.0090544	0.0219391	0.0118148	0.00331364	0.00528616	0.0119564	0.0122166	0.022509	0.00482533	0.0185184	0.00114241	0.00567647	0.00159727	0.0186459	1.33715e-05	0.00498658	0.020795	0.0243343	0.0173089	0.0189342	0.0104993	0.00107306	0.0206038	0.0181307	0.000936149	0.00530638	0.0327596	0.0071299	0.0127122	0.0102243	0.00753162	0.0227015	0.0020661	0.00959095	0.00342427	0.0220377	0.00820132	0.00508744	0.00857774	0.00596176	0.0017428	0.00387654	0.00234572	0.00957537	0.0062141	0.00938667	0.0107571	0.00444092	0.0249482	0.00440376	0.0038298	0.00966338	0.000274843	0.0109387	0.00994185	0.0211061	0.0105975	0.027542	0.00789781	0.0191981	0.00805482	0.0110734	0.00272706	0.00405298	0.0057216	0.9262548
144	-1392.39	-1554.174	161.7835	0.0367509	0.0406563	0.0231444	0.0196706	0.0048486	0.00380187	0.0145084	0.00375924	0.0219703	0.023025	0.0185032	0.0126807	0.0236516	0.0215945	0.0327951	0.003979	0.0205626	0.0354758	0.0162527	0.0148669	0.00303962	0.0151841	0.00467174	0.00019314	0.0217476	0.0161734	0.00260873	0.022826	0.0200458	0.0179608	0.0177246	0.00278189	0.00228846	0.0227573	0.0335332	0.0145926	0.0117926	0.0241682	0.0015191	0.00940902	0.00710559	0.0228465	3.84636e-05	0.00807865	0.0156919	0.0398403	0.0161375	0.00540755	0.00703809	0.00100134	0.0034721	0.0254763	0.00938524	0.0228088	0.0344066	0.011876	0.017026	0.0061734	0.0502966	0.042841	0.00945535	0.0230802	0.0211787	0.0420679	0.00129246	0.00236363	0.00994222	0.00662439	0.000701908	0.00517294	0.0017958	0.00199871	0.0111595	0.0124868	0.0105211	0.00438265	0.0518504	0.022446	0.00356902	0.0123974	0.00112795	0.00647636	0.0174539	0.0448252	0.0125011	0.0282671	0.016304	0.0448545	0.00669733	0.0098214	0.00470023	0.00636358	0.00262496	0.0725166	0.27812	0.670827	1.4907	3.59557	13.7899	1.897289	0.0251551	0.0278283	0.0158418	0.0134641	0.00331876	0.00260229	0.00993065	0.00257312	0.0150382	0.0157601	0.012665	0.00867965	0.016189	0.014781	0.0224475	0.00272354	0.0140746	0.0242824	0.0111246	0.0101761	0.00208055	0.0103932	0.0031977	0.0001322	0.0148857	0.0110704	0.00178562	0.0156239	0.0137209	0.0122938	0.0121321	0.00190414	0.0015664	0.0155769	0.0229527	0.00998828	0.00807174	0.0165426	0.00103979	0.00644026	0.00486362	0.0156379	2.63275e-05	0.00552965	0.0107407	0.0272698	0.0110457	0.00370135	0.00481742	0.000685395	0.00237657	0.017438	0.00642399	0.0156121	0.0235505	0.00812889	0.0116539	0.00422556	0.0344269	0.0293237	0.00647197	0.0157979	0.0144964	0.0287945	0.000884661	0.00161785	0.00680523	0.00453425	0.00048044	0.00354076	0.00122918	0.00136807	0.0076384	0.00854693	0.00720143	0.00299983	0.0354905	0.0153638	0.00244292	0.00848574	0.000772059	0.00443292	0.0119468	0.0306818	0.00855673	0.0193482	0.0111597	0.0307019	0.00458417	0.00672253	0.0032172	0.00435573	0.00179673	1.460968
180	-1379.5	-1540.066	160.566	0.00815377	0.132475	0.0212873	0.0312957	0.000635785	0.0054231	0.00733354	0.0287484	0.0165089	0.0215493	0.0297685	0.00607705	0.0258388	0.0573008	0.0565995	0.0265393	0.0199832	0.0332138	0.0145775	0.0973251	0.0017787	0.0305388	0.00854452	0.0236318	0.0417372	0.0176529	0.018668	0.0033538	0.0391632	0.00717868	0.0258792	0.00500354	0.0213517	0.0239039	0.0540948	0.0424547	0.00641042	0.0297823	0.0127082	0.00244118	0.0395506	0.0330827	0.00575222	0.0175433	0.0485525	0.0380357	0.0348377	0.0227712	0.0321002	0.0162074	0.00749698	0.076314	0.0280487	0.0167718	0.116877	0.0076922	0.0264193	0.0204334	0.046005	0.0337998	0.00833137	0.0308181	0.0176868	0.0467242	0.000252506	0.00731395	0.0164712	0.0278027	0.00301906	0.00934513	0.00264103	0.0262485	0.0359523	0.02341	0.0446242	0.0135292	0.184856	0.00357013	0.0182434	0.00653452	0.00311499	0.023272	0.00746002	0.00943642	0.0156939	0.0658335	0.0144619	0.0587741	0.0114642	0.0208515	0.0363757	0.00604786	0.00725146	0.121919	0.358323	0.726009	1.37739	2.79078	8.20217	1.521625	0.0032195	0.0523075	0.00840528	0.012357	0.000251039	0.0021413	0.00289564	0.0113513	0.00651852	0.00850873	0.011754	0.00239952	0.0102024	0.0226251	0.0223482	0.010479	0.00789035	0.0131144	0.00575592	0.0384287	0.000702318	0.0120582	0.00337379	0.00933097	0.0164799	0.00697024	0.00737102	0.00132424	0.0154635	0.00283449	0.0102184	0.00197564	0.0084307	0.00943842	0.0213593	0.0167632	0.00253115	0.0117595	0.00501783	0.000963896	0.0156165	0.0130626	0.00227126	0.00692694	0.0191709	0.0150183	0.0137556	0.00899118	0.0126747	0.00639947	0.00296017	0.0301325	0.011075	0.0066223	0.0461489	0.00303725	0.0104316	0.00806812	0.018165	0.0133458	0.00328963	0.0121685	0.0069836	0.018449	9.97017e-05	0.0028879	0.00650363	0.0109779	0.00119207	0.00368991	0.00104281	0.0103642	0.0141957	0.00924341	0.0176198	0.00534199	0.0729902	0.00140966	0.00720337	0.00258015	0.00122995	0.0091889	0.00294558	0.00372596	0.00619672	0.0259942	0.00571027	0.0232069	0.00452662	0.00823318	0.0143629	0.00238799	0.00286323	2.532616
216	-1373.516	-1533.61	160.0948	0.013539	0.0987673	0.0415302	0.0144073	0.00246976	0.00789288	0.00788383	0.0274595	0.0144189	0.0393762	0.0206089	0.0263055	0.0135028	0.0133335	0.0389564	0.0227797	0.0707867	0.104578	0.0257458	0.0563805	0.00343451	0.0180471	0.0103591	0.0154678	0.0566572	0.0277766	0.0273715	0.0129372	0.0192389	0.0429409	0.0560931	0.0210226	0.0116878	0.0445368	0.0542795	0.0256022	0.00294056	0.0263695	0.0178065	0.0122038	0.00681519	0.0241779	0.0117693	0.0172215	0.0515511	0.0325364	0.0484389	0.0354713	0.0120056	0.0251667	0.0172824	0.0744424	0.0353258	0.0043963	0.112052	0.0203617	0.0599421	0.0221481	0.0566711	0.011586	0.0246322	0.0322639	0.00401349	0.0409253	0.00101352	0.00276925	0.047152	0.024772	0.00564696	0.0866313	0.00797282	0.00316866	0.0479899	0.0672427	0.0448077	0.0259767	0.110215	0.0080423	0.0299639	0.049094	0.010849	0.0334275	0.00451407	0.0592175	0.0280223	0.0774784	0.0241752	0.0487472	0.0113745	0.0118798	0.0429269	0.0159287	0.00745536	0.141319	0.38508	0.742505	1.34679	2.59686	7.07617	1.414852	0.00468942	0.0342093	0.0143845	0.00499014	0.000855432	0.0027338	0.00273066	0.00951093	0.00499416	0.0136385	0.00713814	0.00911126	0.00467687	0.00461824	0.013493	0.00789004	0.0245179	0.036222	0.00891738	0.0195281	0.00118959	0.00625083	0.00358799	0.00535747	0.0196239	0.00962079	0.00948046	0.00448095	0.00666364	0.0148731	0.0194285	0.00728144	0.00404821	0.0154259	0.0188004	0.00886764	0.0010185	0.00913342	0.00616749	0.00422694	0.00236053	0.00837431	0.00407644	0.0059649	0.0178554	0.0112694	0.0167774	0.0122859	0.0041583	0.00871679	0.00598599	0.025784	0.0122355	0.00152271	0.0388106	0.00705254	0.0207617	0.00767128	0.0196287	0.00401295	0.00853167	0.011175	0.00139012	0.014175	0.000351044	0.000959165	0.0163317	0.00858009	0.0019559	0.0300058	0.00276149	0.00109751	0.0166219	0.0232904	0.0155197	0.00899735	0.0381744	0.00278555	0.0103784	0.0170043	0.00375769	0.011578	0.0015635	0.0205107	0.00970589	0.0268356	0.00837337	0.0168842	0.0039397	0.0041147	0.0148683	0.00551711	0.00258226	2.887148
252	-1373.105	-1530.601	157.4959	0.0225643	0.23765	0.0104064	0.0260796	0.00367911	0.012532	0.0161809	0.0443862	0.0188573	0.105156	0.0481034	0.0169714	0.0364886	0.00804465	0.0558048	0.0333243	0.0488291	0.0909309	0.016548	0.0456718	0.00505471	0.018676	0.00203593	0.0349964	0.0898921	0.0347334	0.00722523	0.0248281	0.0484774	0.0341725	0.0585194	0.000717566	0.0320704	0.0543001	0.0919661	0.0550833	0.0170448	0.0689496	0.00441432	0.0560878	0.0149317	0.0718734	0.00681253	0.043012	0.0930565	0.0715789	0.0532053	0.00734512	0.00550454	0.0636072	0.0400374	0.126454	0.0393439	0.00567065	0.17006	0.0404305	0.0857521	0.0696997	0.00610814	0.059366	0.0672968	0.0621248	1.80639e-05	0.0374173	0.00299887	0.0494343	0.0471221	0.0205939	0.0217035	0.156415	0.0210396	0.0341658	0.0640766	0.037712	0.047285	0.0310588	0.177846	0.0481536	0.0238289	0.059802	0.0297581	0.043447	0.0386212	0.012545	0.0720744	0.168452	0.0196927	0.159447	0.0427786	0.0248205	0.0460594	0.0491957	0.0134055	0.157742	0.406291	0.75503	1.32445	2.46129	6.33947	1.33536	0.00508012	0.0535044	0.0023429	0.00587155	0.000828312	0.00282145	0.00364296	0.00999309	0.00424552	0.0236747	0.01083	0.00382092	0.00821501	0.00181117	0.0125639	0.00750261	0.0109934	0.0204721	0.0037256	0.0102825	0.00113801	0.00420471	0.000458368	0.00787906	0.0202383	0.00781986	0.00162668	0.00558977	0.0109142	0.00769358	0.013175	0.000161552	0.00722031	0.0122251	0.0207052	0.0124014	0.00383745	0.0155233	0.000993836	0.0126276	0.00336171	0.0161815	0.00153377	0.00968369	0.0209507	0.0161152	0.0119786	0.00165368	0.00123929	0.0143205	0.00901399	0.0284697	0.00885786	0.00127669	0.0382872	0.0091025	0.0193062	0.0156921	0.00137518	0.0133656	0.0151512	0.0139867	4.06689e-06	0.0084241	0.000675164	0.0111296	0.010609	0.00463651	0.0048863	0.0352153	0.00473684	0.00769206	0.0144262	0.00849046	0.0106457	0.00699256	0.0400401	0.0108413	0.00536483	0.0134638	0.00669972	0.00978164	0.00869515	0.00282438	0.0162268	0.0379252	0.0044336	0.0358979	0.00963115	0.00558806	0.0103698	0.0110759	0.0030181	4.441694
288	-1374.994	-1536.732	161.7383	0.00080773	0.0759082	0.019655	0.021758	0.00704374	0.00302889	0.00766399	0.00820859	0.0022979	0.0173404	0.0194938	0.0126206	0.0077789	0.00678046	0.027166	0.00656218	0.0249115	0.0285181	0.00751668	0.0304472	9.20519e-05	0.00671427	0.000407068	0.00997909	0.0177969	0.0105114	0.00126059	0.00567551	0.0132963	0.0191854	0.0162768	0.00501074	0.0119729	0.0158449	0.0278547	0.00435517	0.0129852	0.0349621	0.0152349	0.00433425	0.0198516	0.0438763	0.000699214	0.00709536	0.031884	0.0258435	0.0120667	0.0222234	0.011473	0.006249	0.010991	0.00498878	0.0271301	0.0303254	0.0110196	0.0160831	0.0579501	0.00150107	0.0232997	0.0089047	0.000179395	0.0406067	0.000476719	0.0884955	0.0175184	0.00553788	0.0428888	0.00667721	0.0306961	0.0206511	0.0307183	0.025028	0.00704863	0.017899	0.00772992	0.00376371	0.0019413	0.0341099	0.00318327	0.00150099	0.00194047	0.0121597	0.00225885	0.00520905	0.0461783	0.000487219	0.00169722	0.00945973	0.0193537	0.00112238	0.0204164	0.0124936	0.00383356	0.0687484	0.270976	0.665403	1.50285	3.69037	14.5458	1.935873	0.000550985	0.0517801	0.0134074	0.014842	0.00480482	0.00206613	0.00522791	0.00559941	0.00156749	0.0118286	0.0132975	0.00860903	0.0053063	0.00462522	0.0185311	0.00447633	0.0169931	0.0194533	0.00512743	0.0207693	6.27923e-05	0.00458007	0.000277677	0.00680714	0.01214	0.00717024	0.000859897	0.0038715	0.00906994	0.0130871	0.011103	0.00341803	0.00816717	0.0108084	0.0190008	0.00297084	0.00885772	0.0238491	0.0103923	0.00295656	0.0135416	0.0299298	0.000476962	0.00484003	0.0217494	0.0176289	0.00823116	0.0151595	0.00782616	0.00426269	0.00749742	0.00340305	0.0185065	0.0206861	0.00751694	0.0109709	0.0395301	0.00102394	0.0158937	0.00607425	0.000122373	0.0276995	0.000325189	0.0603663	0.01195	0.00377761	0.0292562	0.00455479	0.020939	0.0140869	0.0209542	0.0170726	0.00480815	0.0122097	0.00527289	0.00256738	0.00132424	0.0232678	0.00217144	0.00102389	0.00132367	0.00829459	0.00154085	0.0035533	0.0315001	0.000332351	0.00115775	0.00645286	0.013202	0.000765618	0.0139268	0.00852235	0.00261503	1.465974
324	-1374.373	-1535.819	161.4466	0.0213548	0.12405	0.0181823	0.0130538	0.0161897	0.00440957	0.0133413	0.0107793	0.0110372	0.0119775	0.012871	0.0211741	0.0200081	0.0100233	0.0364449	0.00905637	0.0338518	0.0346221	0.000177907	0.0323068	0.00255439	0.006427	0.00852606	0.00173469	0.0307482	0.00459432	0.0048341	0.0187572	0.0188946	0.0163103	0.0096398	0.000927863	0.0139812	0.00766375	0.0396002	0.0126241	0.00542358	0.0177244	7.14017e-05	0.00458076	0.00511119	0.0194674	0.00530403	0.00907586	0.0353497	0.0293179	0.0326518	0.00480974	0.00859436	0.0268284	0.00674729	0.0255744	0.0185586	0.00412179	0.0586265	0.00129145	0.0204017	0.0286788	0.0117175	0.00887324	0.0336931	0.015306	0.000405629	0.00229917	0.00902108	0.01525	0.00523555	0.00992798	0.0127698	0.0281858	0.0177913	0.00228594	0.00576118	0.0299852	0.0114267	0.0119052	0.0975614	0.00120854	0.0156006	0.0446055	0.022339	0.00960572	0.0204362	0.014173	0.00906024	0.0187677	0.0202345	0.124504	0.0187191	0.00983539	0.019393	0.0179819	0.0178435	0.0765232	0.285511	0.676339	1.47855	3.50249	13.0679	1.858403	0.01231	0.0715088	0.0104812	0.0075249	0.00933259	0.00254191	0.00769063	0.00621373	0.00636244	0.00690446	0.0074195	0.0122058	0.0115337	0.00577793	0.0210087	0.00522056	0.019514	0.019958	0.000102555	0.0186233	0.00147248	0.00370486	0.00491486	0.000999967	0.0177249	0.00264841	0.00278663	0.0108126	0.0108918	0.00940211	0.00555688	0.000534868	0.00805949	0.00441779	0.0228276	0.00727718	0.00312643	0.0102172	4.11596e-05	0.00264059	0.00294636	0.011222	0.00305752	0.0052318	0.0203774	0.0169004	0.0188222	0.00277258	0.00495423	0.0154653	0.00388949	0.0147424	0.0106982	0.00237601	0.0337954	0.000744458	0.0117606	0.016532	0.00675459	0.005115	0.0194224	0.00882315	0.000233826	0.00132536	0.00520022	0.00879087	0.00301804	0.00572301	0.00736118	0.0162478	0.0102558	0.00131774	0.00332104	0.017285	0.00658693	0.00686275	0.0562394	0.000696666	0.00899301	0.0257129	0.0128774	0.00553724	0.0117805	0.00817003	0.0052228	0.0108187	0.0116642	0.0717705	0.0107907	0.00566963	0.0111791	0.0103657	0.0102859	1.73475
